country_code;organization_name;region;income_group;year;total_gdp;total_gdp_million;gdp_variation
AFE;;NO DATA;AGREGADOS;1960;24210632546.4092;24210.632546409197;0.0
AFE;;NO DATA;AGREGADOS;1961;24963977550.732;24963.977550731997;0.46873634773543
AFE;;NO DATA;AGREGADOS;1962;27078797298.7705;27078.7972987705;7.86970873690956
AFE;;NO DATA;AGREGADOS;1963;31775749181.2381;31775.749181238098;5.62237369942389
AFE;;NO DATA;AGREGADOS;1964;30285794056.9305;30285.7940569305;4.69045807903829
AFE;;NO DATA;AGREGADOS;1965;33813171214.3178;33813.1712143178;5.15957370569082
AFE;;NO DATA;AGREGADOS;1966;36934974916.7944;36934.9749167944;4.82275414343354
AFE;;NO DATA;AGREGADOS;1967;38452170915.8701;38452.170915870105;5.37350153757311
AFE;;NO DATA;AGREGADOS;1968;41750716742.6708;41750.7167426708;4.15370975789642
AFE;;NO DATA;AGREGADOS;1969;47058301051.0907;47058.3010510907;5.09073094861398
AFE;;NO DATA;AGREGADOS;1970;47603733607.8466;47603.7336078466;1.13178963932054
AFE;;NO DATA;AGREGADOS;1971;52199396058.8775;52199.3960588775;5.47862520745217
AFE;;NO DATA;AGREGADOS;1972;56737525054.6426;56737.5250546426;2.77004605838793
AFE;;NO DATA;AGREGADOS;1973;73098451708.7216;73098.45170872161;4.60682507052519
AFE;;NO DATA;AGREGADOS;1974;89554214418.5948;89554.2144185948;5.47557796184091
AFE;;NO DATA;AGREGADOS;1975;95315090874.5604;95315.0908745604;1.40489938196129
AFE;;NO DATA;AGREGADOS;1976;96025945909.7116;96025.94590971159;2.38262633973602
AFE;;NO DATA;AGREGADOS;1977;109230767189.887;109230.76718988699;1.12220014181842
AFE;;NO DATA;AGREGADOS;1978;124109354266.774;124109.354266774;1.50936561243601
AFE;;NO DATA;AGREGADOS;1979;142129549067.435;142129.549067435;2.93045873766596
AFE;;NO DATA;AGREGADOS;1980;178509359261.97;178509.35926197;5.46268298190465
AFE;;NO DATA;AGREGADOS;1981;185163153183.273;185163.153183273;4.01252691480731
